ref_id,source,formulation_raw,salt_components,dosage_form,form_modifier,strength_raw,strength_mg,strength_kind,unit_basis,unit_qty,price_checkable,price_ex_gst,so_number,so_date,manufacturer,marketing_company,retrieved_on,status,quarantine_reason,unit_basis_raw,raw_row
CEIL-0591,ceiling,LEVOTHYROXINE,"[""LEVOTHYROXINE""]",tablet,,TABLET 62.5 MCG,[0.0625],mg,tablet,1,true,1.65,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""591"", ""2022"", ""LEVOTHYROXINE"", ""TABLET 62.5 MCG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 1.65(1 Tablet)""]"
CEIL-0592,ceiling,LEVOTHYROXINE,"[""LEVOTHYROXINE""]",tablet,,TABLET 75 MCG,[0.075],mg,tablet,1,true,1.48,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""592"", ""2022"", ""LEVOTHYROXINE"", ""TABLET 75 MCG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 1.48(1 Tablet)""]"
CEIL-0593,ceiling,LIDOCAINE,"[""LIDOCAINE""]",,,Topical forms 2-5%,[],percent,other,1,false,1.11,1575(E),25-Mar-2026,,,2026-09-18,quarantined,unit_unmappable,1 gm or 1 ml)( Pack,"["""", ""593"", ""2022"", ""LIDOCAINE"", ""Topical forms 2-5%"", ""1575(E)"", ""25-Mar-2026"", ""₹ 1.11(1 gm or 1 ml)( Pack)""]"
CEIL-0594,ceiling,LIDOCAINE,"[""LIDOCAINE""]",injection,,INJECTION 5 % with 7.5 %,[],percent,ml,1,true,3.58,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 ML,"["""", ""594"", ""2022"", ""LIDOCAINE"", ""INJECTION 5 % with 7.5 %"", ""1575(E)"", ""25-Mar-2026"", ""₹ 3.58(1 ML)""]"
CEIL-0595,ceiling,LIDOCAINE,"[""LIDOCAINE""]",injection,,INJECTION 1 %,[],percent,ml,1,true,9.08,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 ML,"["""", ""595"", ""2022"", ""LIDOCAINE"", ""INJECTION 1 %"", ""1575(E)"", ""25-Mar-2026"", ""₹ 9.08(1 ML)""]"
CEIL-0596,ceiling,LIDOCAINE,"[""LIDOCAINE""]",injection,,INJECTION 2 %,[],percent,ml,1,true,1.17,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 ML)( Pack,"["""", ""596"", ""2022"", ""LIDOCAINE"", ""INJECTION 2 %"", ""1575(E)"", ""25-Mar-2026"", ""₹ 1.17(1 ML)( Pack)""]"
CEIL-0597,ceiling,LIDOCAINE + ADRENALINE,"[""ADRENALINE"", ""LIDOCAINE""]",injection,,INJECTION 2%/0.005MG,[0.005],mg,ml,1,true,1.08,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 ML,"["""", ""597"", ""2022"", ""LIDOCAINE + ADRENALINE"", ""INJECTION 2%/0.005MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 1.08(1 ML)""]"
CEIL-0598,ceiling,LINEZOLID,"[""LINEZOLID""]",tablet,,TABLET 600 MG,[600.0],mg,tablet,1,true,36.53,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""598"", ""2022"", ""LINEZOLID"", ""TABLET 600 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 36.53(1 Tablet)""]"
CEIL-0599,ceiling,LINEZOLID,"[""LINEZOLID""]",tablet,,TABLET 300 MG,[300.0],mg,tablet,1,true,23.19,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""599"", ""2022"", ""LINEZOLID"", ""TABLET 300 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 23.19(1 Tablet)""]"
CEIL-0600,ceiling,LITHIUM,"[""LITHIUM""]",tablet,,TABLET 300 MG,[300.0],mg,tablet,1,true,2.51,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet)( Pack,"["""", ""600"", ""2022"", ""LITHIUM"", ""TABLET 300 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 2.51(1 Tablet)( Pack)""]"
CEIL-0601,ceiling,LOPERAMIDE,"[""LOPERAMIDE""]",tablet,,TABLET 2 MG,[2.0],mg,tablet,1,true,2.34,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""601"", ""2022"", ""LOPERAMIDE"", ""TABLET 2 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 2.34(1 Tablet)""]"
CEIL-0602,ceiling,LOPERAMIDE,"[""LOPERAMIDE""]",capsule,,CAPSULE 2 MG,[2.0],mg,capsule,1,true,3.89,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Capsule,"["""", ""602"", ""2022"", ""LOPERAMIDE"", ""CAPSULE 2 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 3.89(1 Capsule)""]"
